ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COD,"Congo, the Democratic Republic o",0.233881926,0.233704104,0.233517424,0.233340642,0.233164186,0.233501483,0.233876102,0.234347218,0.234872893,0.235409272,0.215571091,0.153581714,0.152158289,0.151946625,0.151894679,0.126398862,0.146693856,0.147977681,0.151246297,0.150830298,0.163515033,0.207751728,0.204139993,0.211303099,0.20953588,0.210913163,0.2116237,0.211828835
CRI,Costa Rica,0.39350232,0.39224445,0.400365285,0.405899437,0.401281483,0.398259691,0.391947663,0.392504339,0.391566832,0.388696508,0.396736351,0.373635428,0.37560625,0.387310173,0.396398835,0.408938819,0.403452338,0.417380955,0.430938654,0.454047578,0.459373233,0.452649129,0.448792081,0.450296836,0.452307092,0.452511904,0.449575117,0.453366701
CIV,Cote d'Ivoire,0.310649664,0.309755177,0.304702631,0.299162353,0.284014381,0.269087851,0.26450186,0.25991951,0.250857344,0.235707112,0.21734172,0.179513679,0.196756676,0.194815034,0.200732961,0.183477255,0.184224331,0.197848372,0.209849124,0.247783248,0.264192922,0.285795591,0.282185068,0.291211633,0.297598357,0.301121825,0.311357634,0.317986034
HRV,Croatia,0.393769041,0.395035319,0.399643464,0.403327364,0.415907162,0.432740432,0.448202928,0.457924487,0.472134956,0.480338166,0.46845242,0.449650766,0.460392937,0.460571768,0.455354803,0.469117437,0.466666639,0.465442336,0.474708948,0.481249555,0.485379226,0.488714132,0.484751381,0.487319987,0.493298033,0.485549541,0.484770592,0.488900987
CUB,Cuba,0.264302347,0.261830935,0.260444133,0.257602713,0.270124657,0.276165476,0.278259126,0.279336157,0.276505217,0.300036484,0.319811058,0.353093997,0.374411019,0.387233414,0.381018411,0.358771172,0.341750595,0.324446597,0.309586473,0.312201187,0.314054289,0.323292139,0.339191675,0.338223974,0.343013986,0.343864825,0.347216478,0.349763099
CYP,Cyprus,0.451689607,0.452547134,0.450344341,0.448406361,0.452341594,0.457169774,0.459938696,0.465682001,0.476521088,0.470928384,0.49788035,0.573399781,0.576986674,0.595071864,0.50155617,0.499832001,0.492231801,0.49848807,0.502491961,0.518611682,0.518794479,0.506447275,0.519826781,0.514632287,0.522213046,0.517672338,0.521038846,0.519904236
CZE,Czech Republic,0.462973387,0.463758273,0.458775816,0.456539929,0.446526673,0.438110589,0.454254901,0.468742915,0.47632976,0.470258174,0.478050027,0.486807168,0.496620791,0.505641145,0.504357855,0.518515944,0.529138357,0.533221837,0.547508713,0.563403669,0.566133899,0.557333298,0.565053358,0.560595604,0.560484745,0.554135067,0.555860056,0.556284759
DNK,Denmark,0.652090613,0.654416364,0.656171745,0.659869897,0.666046031,0.67133388,0.675111792,0.682324873,0.685332331,0.690837784,0.695887276,0.755800808,0.762331168,0.759904375,0.756344562,0.764871825,0.775026121,0.777791879,0.788597117,0.796746987,0.795915777,0.772937942,0.771717582,0.76983778,0.767041563,0.773241648,0.768363892,0.769795864
DJI,Djibouti,0.312951578,0.31296339,0.310283784,0.307561422,0.314901375,0.32226412,0.32201343,0.32180314,0.313026422,0.327227738,0.331369916,0.288367671,0.295963422,0.312770479,0.31851978,0.300536307,0.294342378,0.296972789,0.292726938,0.301794527,0.307191152,0.299458296,0.316660292,0.323904097,0.325990765,0.325392489,0.324089785,0.323934713
DMA,Dominica,0.589318198,0.589318198,0.58942969,0.589541182,0.585864085,0.582186987,0.582163681,0.582140374,0.584502115,0.581204082,0.609035901,0.551214197,0.542563136,0.545498592,0.541761094,0.538016807,0.535830623,0.529742292,0.537857908,0.543578198,0.541140926,0.532643478,0.534243652,0.528769383,0.5135637,0.519940854,0.518117791,0.519424841
DOM,Dominican Republic,0.315247486,0.315324283,0.308864719,0.304739966,0.308182674,0.312065914,0.318238062,0.319831579,0.308077229,0.312968534,0.308128241,0.313565935,0.321971347,0.336459294,0.353193733,0.345096447,0.339569416,0.348380775,0.347599071,0.360660365,0.361892591,0.355301745,0.350958697,0.348421331,0.351252974,0.355760086,0.363038461,0.367039122
ECU,Ecuador,0.295326029,0.295915294,0.301215817,0.307507906,0.293645754,0.289995387,0.286477762,0.283516379,0.284519572,0.29024061,0.286060432,0.283586044,0.287577234,0.293235336,0.294352895,0.289558108,0.295791491,0.302332896,0.310687697,0.315859078,0.312862977,0.332944623,0.330817556,0.334238356,0.336797713,0.342902192,0.348039064,0.346439229
EGY,Egypt,0.348347107,0.348920706,0.349628376,0.35034905,0.349832072,0.34899262,0.344979748,0.343383396,0.334745344,0.333512374,0.325040483,0.282047984,0.29549139,0.322494051,0.334780551,0.3375108,0.325377215,0.326126215,0.319819162,0.329036627,0.329594541,0.327248925,0.33263712,0.336729727,0.340579406,0.345832522,0.351349971,0.348059729
SLV,El Salvador,0.296087651,0.293892995,0.295492064,0.2972012,0.302590878,0.304253274,0.302637839,0.303617392,0.306977273,0.321414102,0.315966932,0.333045888,0.336668319,0.343960343,0.356045446,0.352406312,0.354940108,0.351316648,0.349934553,0.357775552,0.349289533,0.337065731,0.333032752,0.338708292,0.343816497,0.344212873,0.340599509,0.338719418
