ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BFA,Burkina Faso,685.848492,755.7725333,796.6571548,841.0423581,889.6139712,899.6957174,951.4199342,977.7332907,1041.974901,1083.37805,1176.492884,1248.99583,1295.679409,1356.711292,1364.908942,1454.786885,1536.808944,1577.216925,1648.388278,1666.768864,1696.953579,1887.55372,2048.431462,2077.956121,2233.261555,2375.862852,2467.7406,2620.507654
BDI,Burundi,559.8851194,524.7257751,525.876618,546.7574981,536.0302557,532.491555,542.0903164,559.1493795,545.815527,566.1589076,567.7661336,595.2640856,609.6934915,625.4000522,620.9027826,630.4483917,646.1031275,656.8448261,706.9897821,745.4026654,821.2462547,795.7859958,785.2333947,777.4469722,804.1653441,812.055173,864.2807327,917.506035
KHM,Cambodia,770.1512263,810.96359,839.315222,870.3994023,975.6446634,1077.547589,1170.406056,1244.243388,1352.408347,1505.462904,1727.836497,1939.122101,2157.12361,2307.270331,2288.740553,2419.182169,2605.489544,2855.491165,3025.421459,3158.53082,3354.610833,3631.128525,3873.636032,4228.760962,4620.963392,4504.24716,4668.23778,5202.677725
CMR,Cameroon,1769.588033,1827.630801,1892.318511,1951.735075,2014.554142,2083.49106,2164.910535,2236.248842,2340.012084,2502.676474,2567.519485,2673.826075,2786.542161,2839.404759,2848.357705,2883.163197,2957.163456,3027.17972,3204.361753,3385.476353,3459.780244,3587.616119,3726.56739,3967.521705,4195.670175,4319.218871,4741.76177,5122.644393
CAN,Canada,23485.64193,24050.17501,25258.86056,26319.67416,27841.35335,29362.08416,30230.84877,30963.92189,32351.5457,33927.6697,36328.37899,38119.39096,39575.47701,40376.08828,38864.0567,40098.25372,41666.83746,42291.97294,44301.05625,45758.10073,44668.09128,46470.64664,48317.38745,49982.59991,50498.97311,48590.68321,55781.69903,62041.56203
CPV,Cape Verde,1790.952638,1984.247038,2192.643344,2440.650204,2695.335649,3090.853369,3177.539334,3344.162052,3501.856132,3909.826415,4256.535073,4680.584771,5472.547572,5905.071145,5791.98273,5906.184329,6189.695734,6058.777074,6040.448948,6020.243317,6285.598887,6747.311315,7204.474449,7115.537702,7702.923563,6053.270155,6753.69163,8415.157595
CAF,Central African Republic,644.4241702,613.7035622,639.3347338,658.5156111,672.8923777,652.4741849,681.435593,701.3866103,660.4662333,703.4607926,715.8087374,757.692817,798.966987,814.0355296,870.4307844,902.9107644,945.5931285,1025.920939,686.2023311,673.393561,738.5564308,793.9249208,847.8639336,867.3925659,934.8155432,1003.148677,1057.194395,1112.445986
TCD,Chad,750.9778541,747.8518743,776.7248568,811.9153757,789.8351715,773.7453025,854.4693976,909.5215471,1022.598424,1342.350478,1560.832899,1563.060709,1602.712207,1626.438313,1646.526,1828.939496,1804.062929,1743.380252,1584.978415,1697.79972,1852.303383,1702.25603,1626.980402,1691.461547,1846.974784,1623.25785,1764.348076,1881.991311
CHL,Chile,7250.188762,7959.485754,8581.436492,8927.836442,8921.986048,9468.318766,9876.225078,10239.38529,10820.67162,11735.17617,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25824.64653,25443.21401,29050.08079,31586.1369
CHN,China,1860.687308,2061.043701,2266.922351,2448.650943,2650.514524,2917.602155,3208.585838,3532.315658,3939.018856,4427.657138,5056.987526,5843.353091,6820.040847,7583.348896,8305.8411,9256.103882,10292.94048,11233.97277,12011.68059,12700.44402,13201.67383,13882.02805,14750.36583,16006.91312,17262.1759,17891.48029,20406.72966,22499.44267
COL,Colombia,6475.643906,6608.062186,6829.668083,6826.340936,6521.7909,6754.297331,6912.494197,7086.090245,7398.72555,7889.387573,8413.966512,9136.577184,9892.9967,10293.77282,10357.43499,10831.74482,11694.72661,12075.48176,12756.02107,13323.16908,13289.67449,13971.33959,14334.91461,15161.31797,16091.49905,15427.59378,17587.23179,21055.66303
COM,Comoros,1580.373532,1554.684833,1610.227553,1614.284071,1635.402338,1818.246169,1864.411457,1898.222963,1938.00394,1989.846515,2069.417127,2146.334238,2178.027701,2261.913366,2301.993712,2368.117437,2464.354227,2667.26473,2819.567213,2924.831517,2935.198962,3120.160055,3325.503877,3284.443955,3294.288308,3245.399588,3426.757734,3687.625662
COG,Congo,3443.023962,3560.046803,3525.656341,3620.300206,3482.473274,3687.686792,3769.683448,3911.056531,3910.940635,4016.906771,4306.366233,4617.089013,4268.456231,4474.345387,4827.954125,5153.25507,5204.000834,6093.016322,5868.944609,5769.148067,4746.040112,4043.700138,4476.993602,5636.425589,5766.754924,4813.315626,6323.717579,6713.963637
COD,"Congo, the Democratic Republic o",546.2938259,540.2084684,510.5166827,495.992259,467.9535205,432.7526807,420.3187965,426.2028633,445.5474955,474.0152567,502.9551638,528.9236978,558.9917424,586.1752581,587.5585393,616.6206195,650.4366032,652.2973377,735.030028,829.6507769,885.1244428,942.3002777,1036.588358,1105.628847,1206.798113,1174.385868,1358.204717,1533.743878
CRI,Costa Rica,6446.625147,6501.576463,6820.684649,7232.272837,7487.001659,7797.391995,8100.610884,8364.364843,8757.563554,9249.225705,9773.590702,10659.32554,11682.48693,12300.2877,12103.49976,12742.164,13410.35454,14241.86769,14992.42205,16132.65788,17248.7474,18898.07522,20168.22048,21144.40977,22949.52866,21716.87024,23700.29613,26181.14202
CIV,Cote d'Ivoire,2787.623091,2952.513921,3180.58881,3242.770877,3227.929172,3203.346588,3122.074135,3007.556506,2852.229395,2952.392093,3006.344803,3116.67755,3167.190469,3311.302978,3379.445487,3578.218921,3384.930979,3508.457834,3855.865463,4345.616675,4711.492844,4862.918019,5046.047689,5327.824985,5947.924089,5978.822741,6520.73116,7234.226693
HRV,Croatia,8048.49064,8801.123676,9532.386958,9887.021371,9940.016343,10669.37842,11652.11046,13022.61514,13697.3573,14694.5554,15454.98086,17638.83896,19577.64048,21033.88009,20274.65477,20093.22348,21150.37516,21529.92042,22218.1496,22463.18245,23460.56653,25427.62718,27391.10878,29156.34323,32329.5605,30688.80845,37232.59577,42399.12226
CUB,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
